id,type,frame,magnitude,map,path
kol_hex,ship,,1,normal,graphics/maps/ship_normals/fighters/kol_hex_normal.png
kol_sundew,ship,,1,normal,graphics/maps/ship_normals/kol_sundew_normal.png
kol_protea,ship,,1,normal,graphics/maps/ship_normals/kol_protea_normal.png
kol_marigold,ship,,1,normal,graphics/maps/ship_normals/kol_marigold_normal.png
kol_mimosa,ship,,1,normal,graphics/maps/ship_normals/kol_mimosa_normal.png
kol_snowdrop,ship,,1,normal,graphics/maps/ship_normals/kol_snowdrop_normal.png
kol_tamarisk,ship,,1,normal,graphics/maps/ship_normals/kol_tamarisk_normal.png
kol_larkspur,ship,,1,normal,graphics/maps/ship_normals/kol_larkspur_normal.png
kol_lotus,ship,,1,normal,graphics/maps/ship_normals/kol_lotus_normal.png
kol_lunaria,ship,,1,normal,graphics/maps/ship_normals/kol_lunaria_normal.png
kol_alysse,ship,,1,normal,graphics/maps/ship_normals/kol_alysse_normal.png
kol_snowdrop_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_snowdrop_tl_normal.png
kol_snowdrop_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_snowdrop_tr_normal.png
kol_snowdrop_ll,ship,,1,normal,graphics/maps/ship_normals/modules/kol_snowdrop_ll_normal.png
kol_snowdrop_lr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_snowdrop_lr_normal.png
kol_sundew_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_sundew_tl_normal.png
kol_sundew_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_sundew_tr_normal.png
kol_mimosa_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_mimosa_tl_normal.png
kol_mimosa_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_mimosa_tr_normal.png
kol_larkspur_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_larkspur_tl_normal.png
kol_larkspur_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_larkspur_tr_normal.png
kol_lotus_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lotus_tl_normal.png
kol_lotus_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lotus_tr_normal.png
kol_lotus_ll,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lotus_ll_normal.png
kol_lotus_lr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lotus_lr_normal.png
kol_tamarisk_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_tamarisk_tl_normal.png
kol_tamarisk_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_tamarisk_tr_normal.png
kol_tamarisk_lr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_tamarisk_lr_normal.png
kol_tamarisk_ll,ship,,1,normal,graphics/maps/ship_normals/modules/kol_tamarisk_ll_normal.png
kol_alysse_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_alysse_tl_normal.png
kol_alysse_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_alysse_tr_normal.png
kol_alysse_lr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_alysse_lr_normal.png
kol_alysse_ll,ship,,1,normal,graphics/maps/ship_normals/modules/kol_alysse_ll_normal.png
kol_lunaria_tl,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lunaria_tl_normal.png
kol_lunaria_tr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lunaria_tr_normal.png
kol_lunaria_ml,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lunaria_ml_normal.png
kol_lunaria_mr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lunaria_mr_normal.png
kol_lunaria_ll,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lunaria_ll_normal.png
kol_lunaria_lr,ship,,1,normal,graphics/maps/ship_normals/modules/kol_lunaria_lr_normal.png
kol_blaze,ship,,1,normal,graphics/maps/ship_normals/kol_blaze_normal.png
kol_invictus_lp,ship,,1,normal,graphics/maps/ship_normals/kol_invictus_lp_normal.png
kol_boss_ret_lp,ship,,1,normal,graphics/maps/ship_normals/kol_boss_retribution_path_normal.png
abyss_edf_tamamo,ship,,1,normal,graphics/maps/ship_normals/abyss_edf_tamamo_normal.png
abyss_dusk_ikiryo,ship,,1,normal,graphics/maps/ship_normals/abyss_dusk_ikiryo_normal.png
abyss_dusk_shiryo,ship,,1,normal,graphics/maps/ship_normals/abyss_dusk_shiryo_normal.png
abyss_dusk_funayurei,ship,,1,normal,graphics/maps/ship_normals/abyss_dusk_funayurei_normal.png
abyss_dusk_onryo,ship,,1,normal,graphics/maps/ship_normals/abyss_dusk_onryo_normal.png
abyss_dusk_hashihime,ship,,1,normal,graphics/maps/ship_normals/abyss_dusk_hashihime_normal.png
abyss_dusk_ayakashi,ship,,1,normal,graphics/maps/ship_normals/abyss_dusk_ayakashi_normal.png
abyss_boss_ninaya,ship,,1,normal,graphics/maps/ship_normals/abyss_boss_ninaya_normal.png
abyss_boss_ninmah,ship,,1,normal,graphics/maps/ship_normals/abyss_boss_ninmah_normal.png
abyss_boss_nineveh,ship,,1,normal,graphics/maps/ship_normals/abyss_boss_nineveh_normal.png
abyss_boss_yukionna,ship,,1,normal,graphics/maps/ship_normals/abyss_boss_yukionna_normal.png
