id,type,frame,magnitude,map,path
kol_blaze,ship,,0.5,normal,graphics/maps/ship_normals/kol_blaze_normal.png
kol_boss_retribution_path,ship,,0.5,normal,graphics/maps/ship_normals/kol_boss_retribution_path_normal.png
kol_invictus,ship,,0.5,normal,graphics/maps/ship_normals/kol_invictus_normal.png
kol_invictus_lp,ship,,0.5,normal,graphics/maps/ship_normals/kol_invictus_lp_normal.png
,,,,,
kol_hex,ship,,0.5,normal,graphics/maps/ship_normals/fighters/kol_hex_normal.png
,,,,,
kol_alysse,ship,,0.5,normal,graphics/maps/ship_normals/kol_alysse_normal.png
kol_alysse_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_alysse_tl_normal.png
kol_alysse_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_alysse_tr_normal.png
kol_alysse_lr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_alysse_lr_normal.png
kol_alysse_ll,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_alysse_ll_normal.png
,,,,,
kol_deco_alysse_ll,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_alysse_ll_normal.png
kol_deco_alysse_ll,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_alysse_ll_normal.png
kol_deco_alysse_lr,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_alysse_lr_normal.png
kol_deco_alysse_lr,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_alysse_lr_normal.png
,,,,,
kol_lunaria,ship,,0.5,normal,graphics/maps/ship_normals/kol_lunaria_normal.png
kol_lunaria_ll,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lunaria_ll_normal.png
kol_lunaria_lr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lunaria_lr_normal.png
kol_lunaria_ml,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lunaria_ml_normal.png
kol_lunaria_mr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lunaria_mr_normal.png
kol_lunaria_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lunaria_tl_normal.png
kol_lunaria_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lunaria_tr_normal.png
,,,,,
kol_larkspur,ship,,0.5,normal,graphics/maps/ship_normals/kol_larkspur_normal.png
kol_larkspur_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_larkspur_tl_normal.png
kol_larkspur_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_larkspur_tr_normal.png
,,,,,
kol_deco_larkspur_front,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_larkspur_front_normal.png
kol_deco_larkspur_front,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_larkspur_front_normal.png
kol_deco_larkspur_tl,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_larkspur_tl_normal.png
kol_deco_larkspur_tl,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_larkspur_tl_normal.png
kol_deco_larkspur_tr,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_larkspur_tr_normal.png
kol_deco_larkspur_tr,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_larkspur_tr_normal.png
,,,,,
kol_tamarisk,ship,,0.5,normal,graphics/maps/ship_normals/kol_tamarisk_normal.png
kol_tamarisk_ll,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_tamarisk_ll_normal.png
kol_tamarisk_lr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_tamarisk_lr_normal.png
kol_tamarisk_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_tamarisk_tl_normal.png
kol_tamarisk_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_tamarisk_tr_normal.png
,,,,,
kol_deco_tamarisk_front,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_tamarisk_front_normal.png
kol_deco_tamarisk_front,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_tamarisk_front_normal.png
,,,,,
kol_sundew,ship,,0.5,normal,graphics/maps/ship_normals/kol_sundew_normal.png
kol_sundew_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_sundew_tl_normal.png
kol_sundew_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_sundew_tr_normal.png
,,,,,
kol_mimosa,ship,,0.5,normal,graphics/maps/ship_normals/kol_mimosa_normal.png
kol_mimosa_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_mimosa_tl_normal.png
kol_mimosa_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_mimosa_tr_normal.png
,,,,,
kol_marigold,ship,,0.5,normal,graphics/maps/ship_normals/kol_marigold_normal.png
kol_marigold_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_marigold_tl_normal.png
kol_marigold_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_marigold_tr_normal.png
,,,,,
kol_snowdrop,ship,,0.5,normal,graphics/maps/ship_normals/kol_snowdrop_normal.png
kol_snowdrop_ll,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_ll_normal.png
kol_snowdrop_lr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_lr_normal.png
kol_snowdrop_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_tl_normal.png
kol_snowdrop_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_tr_normal.png
,,,,,
kol_protea,ship,,0.5,normal,graphics/maps/ship_normals/kol_protea_normal.png
,,,,,
kol_deco_protea_l,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_protea_l_normal.png
kol_deco_protea_l,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_protea_l_normal.png
kol_deco_protea_r,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_protea_r_normal.png
kol_deco_protea_r,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_protea_r_normal.png
kol_deco_protea_mid,hardpoint,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_protea_mid_normal.png
kol_deco_protea_mid,turret,,0.5,normal,graphics/maps/ship_normals/decos/kol_deco_protea_mid_normal.png
,,,,,
kol_snowdrop,ship,,0.5,normal,graphics/maps/ship_normals/kol_snowdrop_normal.png
kol_snowdrop_ll,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_ll_normal.png
kol_snowdrop_lr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_lr_normal.png
kol_snowdrop_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_tl_normal.png
kol_snowdrop_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_snowdrop_tr_normal.png
,,,,,
kol_lotus,ship,,0.5,normal,graphics/maps/ship_normals/kol_lotus_normal.png
kol_lotus_ll,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lotus_ll_normal.png
kol_lotus_lr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lotus_lr_normal.png
kol_lotus_tl,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lotus_tl_normal.png
kol_lotus_tr,ship,,0.5,normal,graphics/maps/ship_normals/modules/kol_lotus_tr_normal.png
,,,,,
kol_libra,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_normal.png
kol_libra_under,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_under_normal.png
kol_libra_rear,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_rear_normal.png
kol_libra_tl,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_tl_normal.png
kol_libra_tr,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_tr_normal.png
kol_libra_ml,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_ml_normal.png
kol_libra_mr,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_mr_normal.png
kol_libra_ml2,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_ml2_normal.png
kol_libra_mr2,ship,,0.5,normal,graphics/maps/ship_normals/kol_libra_mr2_normal.png
,,,,,
# weapon,,,,,
kol_caelia,hardpoint,,0.5,normal,graphics/maps/weapon_normals/kol_caelia_hardpoint_base_normal.png
kol_caelia,hardpointbarrel,,0.5,normal,graphics/maps/weapon_normals/kol_caelia_hardpoint_recoil_normal.png
kol_caelia,turret,,0.5,normal,graphics/maps/weapon_normals/kol_caelia_turret_base_normal.png
kol_caelia,turretbarrel,,0.5,normal,graphics/maps/weapon_normals/kol_caelia_turret_recoil_normal.png
kol_tor,hardpoint,,0.5,normal,graphics/maps/weapon_normals/kol_tor_hardpoint_base_normal.png
kol_tor,hardpointbarrel,,0.5,normal,graphics/maps/weapon_normals/kol_tor_hardpoint_recoil_normal.png
kol_tor,turret,,0.5,normal,graphics/maps/weapon_normals/kol_tor_turret_base_normal.png
kol_tor,turretbarrel,,0.5,normal,graphics/maps/weapon_normals/kol_tor_turret_recoil_normal.png
kol_llyr,hardpoint,,0.5,normal,graphics/maps/weapon_normals/kol_llyr_hardpoint_base_normal.png
kol_llyr,hardpointbarrel,,0.5,normal,graphics/maps/weapon_normals/kol_llyr_hardpoint_recoil_normal.png
kol_llyr,turret,,0.5,normal,graphics/maps/weapon_normals/kol_llyr_turret_base_normal.png
kol_llyr,turretbarrel,,0.5,normal,graphics/maps/weapon_normals/kol_llyr_turret_recoil_normal.png
kol_lunete,hardpoint,,0.5,normal,graphics/maps/weapon_normals/kol_lunete_hardpoint_normal.png
kol_lunete,turret,,0.5,normal,graphics/maps/weapon_normals/kol_lunete_hardpoint_normal.png
,,,,,
#missile missile MISSILE,,,,,
zea_edf_harpoon_mrm,missile,,0.5,normal,graphics/maps/missiles_normals/kol_harpoon_but_its_long_normal.png
kol_lunete_proj,missile,,0.5,normal,graphics/maps/missiles_normals/kol_lunete_msl_normal.png
zea_inferno_canister_flak_proj,missile,,0.5,normal,graphics/maps/missiles_normals/zea_boss_nian_inferno_canister_normal.png
,,,,,
#guns.. moar guns… I said MORE GUNS,,,,,
zea_nian_maingun,hardpoint,,0.5,normal,graphics/maps/weapon_normals/kol_niangun_hardpoint_base_normal.png
